"year" "FtoFmsy" "time1" "time2" "MSY" "BtoBmsy" "SBtoSBmsy"
"1" 1972 0.0268456375838926 156 152 123300 3.449 3.717
"2" 1973 0.0304228780042592 152 148 96540 3.659 3.888
"3" 1974 0.0313381385145722 148 144 106100 3.883 4.161
"4" 1975 0.0327011118378025 144 140 108400 4.062 4.298
"5" 1976 0.0306560392397302 140 136 103500 4.336 4.699
"6" 1977 0.036101083032491 136 132 116700 4.413 5.007
"7" 1978 0.0425170068027211 132 128 109000 4.183 4.739
"8" 1979 0.0541711809317443 128 124 96900 3.974 4.509
"9" 1980 0.0378787878787879 124 120 114300 3.647 4.03
"10" 1981 0.043010752688172 120 116 106500 3.521 3.794
"11" 1982 0.0459770114942529 116 112 117400 3.57 3.87
"12" 1983 0.0475963826749167 112 108 108500 3.632 3.905
"13" 1984 0.0742390497401633 108 104 105700 3.676 3.978
"14" 1985 0.0903342366757001 104 100 102800 3.723 4.016
"15" 1986 0.103327133705311 100 96 105800 3.743 4.087
"16" 1987 0.122925629993854 96 92 104900 3.71 4.058
"17" 1988 0.15044380923725 92 88 113400 3.543 3.911
"18" 1989 0.167028561884082 88 84 113300 3.349 3.697
"19" 1990 0.187617260787992 84 80 115500 3.176 3.57
"20" 1991 0.218722659667542 80 76 102700 2.962 3.269
"21" 1992 0.292740046838407 76 72 110400 2.78 3.036
"22" 1993 0.366434591425431 72 68 120500 2.709 3.041
"23" 1994 0.392772977219167 68 64 107300 2.453 2.688
"24" 1995 0.459770114942529 64 60 95680 2.302 2.482
"25" 1996 0.450653447498873 60 56 101700 2.192 2.384
"26" 1997 0.48661800486618 56 52 97490 2.073 2.198
"27" 1998 0.468164794007491 52 48 95700 2.008 2.086
"28" 1999 0.529100529100529 48 44 92400 2.038 2.127
"29" 2000 0.463177396943029 44 40 99520 2.026 2.142
"30" 2001 0.431406384814495 40 36 102800 2.023 2.163
"31" 2002 0.43859649122807 36 32 109100 1.998 2.104
"32" 2003 0.550964187327824 32 28 111200 1.961 2.06
"33" 2004 0.587544065804935 28 24 118100 1.933 2.101
"34" 2005 0.61652281134402 24 20 113200 1.797 1.981
"35" 2006 0.668002672010688 20 16 104400 1.597 1.769
"36" 2007 0.75187969924812 16 12 86420 1.437 1.591
"37" 2008 0.88339222614841 12 8 89450 1.256 1.364
"38" 2009 0.855431993156544 8 4 85890 1.125 1.158
"39" 2010 0.867302688638335 4 0 87510 1.081 1.077
